id;country;designation;points;price;province;region_1;winery
6;Italy;Belsito;87;16;Sicily & Sardinia;Vittoria;Terre di Giurfo
22;Italy;Ficiligno;87;19;Sicily & Sardinia;Sicilia;Baglio di Pianetto
24;Italy;Aynat;87;35;Sicily & Sardinia;Sicilia;Canicattì
26;Italy;Dalila;87;13;Sicily & Sardinia;Terre Siciliane;Stemmari
28;Italy;Mascaria Barricato;87;17;Sicily & Sardinia;Cerasuolo di Vittoria;Terre di Giurfo
37;Italy;Missoni;86;21;Sicily & Sardinia;Sicilia;Feudi del Pisciotto
38;Italy;I Tratturi;86;11;Southern Italy;Puglia;Feudi di San Marzano
39;Italy;Purato Made With Organic Grapes;86;12;Sicily & Sardinia;Sicilia;Feudo di Santa Tresa
46;Italy;Sallier de la Tour;86;13;Sicily & Sardinia;Sicilia;Tasca d'Almerita
52;Italy;Dolia;85;14;Sicily & Sardinia;Monica di Sardegna;Cantine di Dolianova
57;Italy;Sallier de la Tour;85;13;Sicily & Sardinia;Sicilia;Tasca d'Almerita
61;Italy;Prugneto;86;17;Central Italy;Romagna;Podere dal Nespoli
72;Italy;Daginestra;86;32;Southern Italy;Aglianico del Vulture;Grifalco
88;Italy;Le Mandorle Riserva;86;29;Tuscany;Vernaccia di San Gimignano;Poggio Alloro
98;Italy;Dono Riserva;88;30;Tuscany;Morellino di Scansano;Serpaia di Endrizzi
104;Italy;Nativo;87;16;Tuscany;Toscana;Madonna Alta
105;Italy;Villa Antinori;87;14;Tuscany;Toscana;Marchesi Antinori
106;Italy;Castiglioni;87;30;Tuscany;Toscana;Marchesi de' Frescobaldi
107;Italy;Ammiraglia Massovivo;87;18;Tuscany;Toscana;Marchesi de' Frescobaldi
109;Italy;Le Volte;87;30;Tuscany;Toscana;Ornellaia
112;Italy;Semifonte;87;15;Tuscany;Toscana;Podere Ciona
113;Italy;Poetico;87;19;Tuscany;Toscana;Poggioventoso
118;Italy;Toscano;87;80;Tuscany;Toscana;Tenuta Forconi
120;Italy;Bricco Rocche Prapó;92;70;Piedmont;Barolo;Ceretto
130;Italy;Bricco Rocche Brunate;91;70;Piedmont;Barolo;Ceretto
135;Italy;Sorano;91;60;Piedmont;Barolo;Giacomo Ascheri
140;Italy;Costa Bruna;90;26;Piedmont;Barbera d'Alba;Poderi Colla
141;Italy;Vigna dei Pola;90;45;Piedmont;Barolo;Giacomo Ascheri
158;Italy;Bellezza Gran Selezione;91;38;Tuscany;Chianti Classico;Castello di Gabbiano
175;Italy;De Silva;88;25;Northeastern Italy;Alto Adige;Tenuta Peter Sölva & Söhne
187;Italy;Montenero;88;48;Sicily & Sardinia;Sicilia;Abbazia Santa Anastasia
190;Italy;Campole;87;26;Southern Italy;Campania;Fattoria Alois
192;Italy;Le Pietre Santambrogio;87;20;Veneto;Rosso del Veronese;Aldegheri
195;Italy;Riserva;87;35;Tuscany;Vino Nobile di Montepulciano;Carpineto
196;Italy;Pancole;87;18;Tuscany;Vernaccia di San Gimignano;Cesani
201;Italy;Nova Domus Riserva;90;62;Northeastern Italy;Alto Adige;Terlan
221;Italy;Passion Riserva;90;40;Northeastern Italy;Alto Adige;St. Pauls
234;Italy;Cerasuolo Rosè;85;10;Central Italy;Montepulciano d'Abruzzo;Talamonti
267;Italy;Torre di Giano Vigna il Pino;89;40;Central Italy;Torgiano;Lungarotti
268;Italy;Terso;89;36;Veneto;Veneto;Marchesi Fumanelli
272;Italy;Sirmian;89;26;Northeastern Italy;Alto Adige;Nals Margreid
274;Italy;Estrosa;89;13;Piedmont;Monferrato;Pico Maccario
282;Italy;Dulcamara;92;41;Tuscany;Toscana;I Giusti e Zanza
303;Italy;4 Vigne;87;56;Piedmont;Barolo;Cascina Adelaide
315;Italy;Extra Dry;86;15;Veneto;Prosecco di Valdobbiadene;Bellussi
319;Italy;Millesimato Brut;86;20;Veneto;Veneto;Paladin
320;Italy;Col di Manza Extra Dry Millesimato;86;22;Veneto;Prosecco di Valdobbiadene;Perlage
321;Italy;Brut;86;16;Veneto;Prosecco di Valdobbiadene;Sant Eurosia
322;Italy;Millesimato Dry;86;18;Veneto;Prosecco di Valdobbiadene;Sant Eurosia
324;Italy;Matiú Brut;86;12;Veneto;Prosecco di Conegliano;L'Antica Quercia
326;Italy;Extra Dry;86;15;Veneto;Prosecco di Valdobbiadene;Marsuret
332;Italy;Palazzo Rosso Brut;86;19;Veneto;Prosecco di Conegliano;Sommariva
333;Italy;Col del Sas Extra Dry;86;18;Veneto;Prosecco di Valdobbiadene;Spagnol
335;Italy;Arió Extra Dry;86;15;Veneto;Prosecco di Conegliano;L'Antica Quercia
350;Italy;Vignolo Riserva;97;150;Piedmont;Barolo;Cavallotto
361;Italy;Simposio;95;60;Piedmont;Barolo;Bel Colle
366;Italy;Vorberg;88;21;Northeastern Italy;Alto Adige;Cantina Terlano
371;Italy;Castel Ringberg;88;23;Northeastern Italy;Alto Adige;Elena Walch
372;Italy;Classico;88;10;Veneto;Soave;Gini
373;Italy;I Fiori del Borgo;88;15;Northeastern Italy;Collio;Borgo Conventi
375;Italy;Vino in Musica;88;40;Tuscany;Toscana;Valiano
376;Italy;Zuc de Volpe;88;18;Northeastern Italy;Colli Orientali del Friuli;Volpe Pasini
379;Italy;Bianco dei Sorni;88;15;Northeastern Italy;Trentino;La Vis
381;Italy;Vigne Alte;88;11;Veneto;Bianco di Custoza;Fratelli Zeni
383;Italy;Vigneto Santa Cecilia;88;9;Veneto;Valdadige;Tommasi
384;Italy;Sanct Valentin;88;30;Northeastern Italy;Alto Adige;San Michele Eppan
389;Italy;Terlano Classico;88;15;Northeastern Italy;Alto Adige;Cantina Terlano
399;Italy;Extra Dry;85;24;Veneto;Prosecco di Valdobbiadene;Astoria
400;Italy;Brut;85;13;Italy Other;Italy;Cantine Maschio
401;Italy;Millesimato Extra Dry;85;19;Veneto;Prosecco di Valdobbiadene;Val d'Oca
405;Italy;Extra Dry;85;19;Veneto;Prosecco del Veneto;Viticoltori Ponte
