Column1;country;points;price;province;region_1;variety;winery
10;Italy;95;800;Northeastern Italy;Collio;Friulano;Borgo del Tiglio
35;Italy;90;1350;Tuscany;Brunello di Montalcino;Sangiovese;Carillon
37;Italy;90;290;Tuscany;Vino Nobile di Montepulciano;Sangiovese;Avignonesi
38;Italy;90;230;Tuscany;Chianti Classico;Sangiovese;Casina di Cornia
39;Italy;90;290;Tuscany;Chianti Classico;Red Blend;Castello di Monterinaldi
43;Italy;90;390;Tuscany;Chianti Classico;Red Blend;Rignana
45;Italy;90;300;Tuscany;Chianti Classico;Red Blend;Vignavecchia
46;Italy;90;900;Tuscany;Brunello di Montalcino;Sangiovese;Banfi
48;Italy;90;500;Tuscany;Brunello di Montalcino;Sangiovese;Brunelli Martoccia
50;Italy;90;1000;Tuscany;Brunello di Montalcino;Sangiovese;Capanne Ricci
59;Italy;90;600;Tuscany;Maremma Toscana;Red Blend;Fattoria di Magliano
79;Italy;91;750;Piedmont;Barolo;Nebbiolo;Bel Colle
83;Italy;91;590;Piedmont;Barolo;Nebbiolo;Cascina Cucco
84;Italy;91;850;Piedmont;Barolo;Nebbiolo;Cascina del Monastero
85;Italy;91;800;Piedmont;Barolo;Nebbiolo;Cordero di Montezemolo
92;Italy;86;220;Veneto;Prosecco;Glera;De Stefani
102;Italy;86;450;Tuscany;Brunello di Montalcino;Sangiovese;Il Grappolo
129;Italy;90;450;Sicily & Sardinia;Etna;White Blend;Biondi
130;Italy;90;180;Southern Italy;Greco di Tufo;Greco;Cantine di Marzo
166;Italy;89;250;Tuscany;Toscana;Red Blend;Tenuta degli Dei
167;Italy;89;220;Tuscany;Toscana;Red Blend;Poggio Mandorlo
176;Italy;89;400;Tuscany;Toscana;Sangiovese;Altesino
177;Italy;89;570;Tuscany;Toscana;Red Blend;Cabreo
211;Italy;93;490;Piedmont;Barbaresco;Nebbiolo;Rizzi
213;Italy;93;580;Piedmont;Barbaresco;Nebbiolo;Sottimano
217;Italy;93;800;Piedmont;Barolo;Nebbiolo;Borgogno
224;Italy;93;580;Piedmont;Barbaresco;Nebbiolo;Sottimano
234;Italy;93;430;Piedmont;Barbaresco;Nebbiolo;Punset
239;Italy;92;690;Piedmont;Barbaresco;Nebbiolo;Fontanafredda
251;Italy;88;340;Piedmont;Barolo;Nebbiolo;Reversanti
255;Italy;88;560;Piedmont;Barolo;Nebbiolo;Silvano Bolmida
258;Italy;88;460;Piedmont;Barolo;Nebbiolo;Trediberri
264;Italy;88;490;Piedmont;Barolo;Nebbiolo;Palladino
276;Italy;92;270;Northeastern Italy;Alto Adige;Pinot Bianco;Nals Margreid
280;Italy;92;330;Veneto;Soave Classico;Garganega;Suavia
281;Italy;92;600;Northeastern Italy;Alto Adige;Sauvignon;Cantina Terlano
296;Italy;91;250;Northeastern Italy;Alto Adige;Sauvignon;Colterenzio
297;Italy;91;230;Northeastern Italy;Alto Adige;Pinot Grigio;Colterenzio
302;Italy;94;850;Veneto;Amarone della Valpolicella Classico;Red Blend;Speri
311;Italy;94;380;Veneto;Soave Classico;Garganega;Gini
312;Italy;94;290;Veneto;Soave Classico;Garganega;Gini
330;Italy;91;750;Piedmont;Barolo;Nebbiolo;Fratelli Alessandria
340;Italy;91;900;Piedmont;Barolo;Nebbiolo;Marchesi di Barolo
342;Italy;91;1150;Piedmont;Barolo;Nebbiolo;Oddero
349;Italy;91;600;Piedmont;Barolo;Nebbiolo;Vite Colte
358;Italy;91;850;Piedmont;Barolo;Nebbiolo;Icardi
366;Italy;90;220;Sicily & Sardinia;Vittoria;Frappato;Planeta
377;Italy;90;190;Southern Italy;Greco di Tufo;Greco;Villa Raiano
392;Italy;90;600;Tuscany;Brunello di Montalcino;Sangiovese;La Fiorita
397;Italy;90;600;Tuscany;Brunello di Montalcino;Sangiovese;Piccini
398;Italy;90;750;Tuscany;Brunello di Montalcino;Sangiovese;Pietranera
400;Italy;90;950;Tuscany;Brunello di Montalcino;Sangiovese;Renieri
401;Italy;90;600;Tuscany;Brunello di Montalcino;Sangiovese;Podere Scopetone
402;Italy;90;700;Tuscany;Brunello di Montalcino;Sangiovese;Sesta di Sopra
412;Italy;90;900;Tuscany;Brunello di Montalcino;Sangiovese;Tenuta di Sesta
417;Italy;90;300;Tuscany;Chianti Classico;Sangiovese;Castello di Bossi
418;Italy;90;320;Tuscany;Vino Nobile di Montepulciano;Red Blend;Cecchi
419;Italy;90;350;Tuscany;Chianti Classico;Sangiovese;Cafaggio
432;Italy;87;750;Tuscany;Brunello di Montalcino;Sangiovese;Citille di Sopra
433;Italy;87;980;Tuscany;Brunello di Montalcino;Sangiovese;Castello Romitorio
438;Italy;87;280;Tuscany;Maremma Toscana;Vermentino;Fattoria di Magliano
440;Italy;87;170;Tuscany;Bolgheri;Red Blend;Ceralti
447;Italy;87;520;Tuscany;Brunello di Montalcino;Sangiovese;La Collina dei Lecci
448;Italy;87;580;Tuscany;Brunello di Montalcino;Sangiovese;Fattoria La Lecciaia
449;Italy;87;600;Tuscany;Brunello di Montalcino;Sangiovese;Ferrero
451;Italy;86;150;Veneto;Soave;White Blend;Latium di Morini
483;Italy;89;430;Tuscany;Toscana;Sangiovese;Marchesi de' Frescobaldi
490;Italy;89;550;Tuscany;Toscana;Cabernet Sauvignon;Castellare di Castellina
497;Italy;89;300;Tuscany;Toscana;Red Blend;Tenuta di Trecciano
498;Italy;89;450;Tuscany;Toscana;Cabernet Sauvignon;Terre del Marchesato
507;Italy;89;300;Tuscany;Toscana;Red Blend;Pratesi
530;Italy;92;450;Piedmont;Barbaresco;Nebbiolo;Ressia
532;Italy;92;500;Piedmont;Barolo;Nebbiolo;Piazzo Armando
558;Italy;90;220;Sicily & Sardinia;Noto;Moscato;Planeta
576;Italy;94;350;Northeastern Italy;Collio;Friulano;Borgo del Tiglio
604;Italy;91;260;Northeastern Italy;Alto Adige;Pinot Grigio;Nals Margreid
611;Italy;91;410;Northeastern Italy;Vigneti delle Dolomiti;White Blend;Franz Haas
626;Italy;91;210;Northeastern Italy;Alto Adige;Sauvignon;Cantina Produttori San Michele Appiano
632;Italy;90;750;Piedmont;Barolo;Nebbiolo;Virna Borgogno
634;Italy;90;750;Piedmont;Barolo;Nebbiolo;Alessandro Rivetto
637;Italy;90;750;Piedmont;Barolo;Nebbiolo;Ca' Viola
638;Italy;90;300;Piedmont;Barolo;Nebbiolo;Cantina del Nebbiolo
639;Italy;90;420;Piedmont;Barolo;Nebbiolo;Cascina Ballarin
640;Italy;90;180;Piedmont;Barbera d'Asti Superiore;Barbera;Cascina Liuzzi
651;Italy;90;350;Piedmont;Barbera d'Alba;Barbera;Elvio Cogno
653;Italy;90;880;Piedmont;Barolo;Nebbiolo;Franco M. Martinetti
657;Italy;90;450;Piedmont;Barolo;Nebbiolo;Manzone Fratelli
658;Italy;90;740;Piedmont;Barolo;Nebbiolo;Marziano Abbona
669;Italy;88;800;Piedmont;Barolo;Nebbiolo;Germano Angelo
677;Italy;88;770;Piedmont;Barolo;Nebbiolo;Boroli
699;Italy;90;620;Tuscany;Brunello di Montalcino;Sangiovese;La Magia
701;Italy;90;800;Tuscany;Brunello di Montalcino;Sangiovese;Lazzeretti
713;Italy;90;600;Tuscany;Brunello di Montalcino;Sangiovese;SassodiSole
717;Italy;90;250;Tuscany;Chianti Classico;Red Blend;Il Brunone
730;Italy;85;90;Northeastern Italy;Delle Venezie;Pinot Nero;Famiglia Cielo
738;Italy;85;100;Veneto;Soave Classico;Garganega;Cantina di Gambellara
757;Italy;89;230;Tuscany;Toscana;Red Blend;Nittardi
759;Italy;89;280;Tuscany;Toscana;Red Blend;OT
765;Italy;89;450;Tuscany;Toscana;Red Blend;San Fabiano Calcinaia
