Vintage;Country;County;Points;Price;Province
01/01/1929;Italy;Sangiovese di Romagna Superiore;84;15;Central Italy
01/01/1945;France;Rivesaltes;95;350;Languedoc Roussillon
01/01/1989;France;Champagne;91;70;Champagne
01/01/1990;France;Champagne;90;290;Champagne
01/01/1994;Italy;Vin Santo del Chianti Rufina;93;140;Tuscany
01/01/1995;France;Champagne;89;48;Champagne
01/01/1995;France;Champagne;90;60;Champagne
01/01/1995;Italy;Brunello di Montalcino;84;56;Tuscany
01/01/1996;Italy;Chianti Classico;84;18;Tuscany
01/01/1996;France;Champagne;95;120;Champagne
01/01/1996;Italy;Chianti Classico;83;26;Tuscany
01/01/1996;Italy;Piedmont;90;36;Piedmont
01/01/1997;Italy;Amarone della Valpolicella Classico;91;50;Veneto
01/01/1997;France;Chablis;92;85;Burgundy
01/01/1997;Italy;Toscana;89;45;Tuscany
01/01/1997;Italy;Chianti Classico;84;22;Tuscany
01/01/1997;Italy;Toscana;88;27;Tuscany
01/01/1997;Italy;Franciacorta;85;28;Lombardy
01/01/1997;France;Champagne;91;120;Champagne
01/01/1997;Italy;Brunello di Montalcino;90;60;Tuscany
01/01/1998;France;Costières de Nîmes;88;15;Rhône Valley
01/01/1998;France;Champagne;95;275;Champagne
01/01/1998;France;Champagne;86;160;Champagne
01/01/1998;Italy;Toscana;89;40;Tuscany
01/01/1998;Italy;Chianti;83;11;Tuscany
01/01/1998;France;Meursault;88;45;Burgundy
01/01/1998;Italy;Sant Antimo;90;73;Tuscany
01/01/1998;Italy;Sant Antimo;86;36;Tuscany
01/01/1998;Italy;Chianti Classico;90;22;Tuscany
01/01/1998;France;Champagne;89;40;Champagne
01/01/1998;France;Pernand Vergelesses;92;33;Burgundy
01/01/1998;France;Puligny Montrachet;92;55;Burgundy
01/01/1998;France;Bordeaux Blanc;88;10;Bordeaux
01/01/1998;Italy;Morellino di Scansano;88;19;Tuscany
01/01/1998;France;Champagne;93;95;Champagne
01/01/1998;France;Côtes du Luberon;87;10;Rhône Valley
01/01/1998;France;Côtes du Rhône;86;9;Rhône Valley
01/01/1998;France;Champagne;93;300;Champagne
01/01/1999;Italy;Trento;93;90;Northeastern Italy
01/01/1999;Italy;Bolgheri;95;80;Tuscany
01/01/1999;France;Hermitage;94;75;Rhône Valley
01/01/1999;France;Bordeaux Blanc;84;9;Bordeaux
01/01/1999;Italy;Toscana;90;43;Tuscany
01/01/1999;France;Champagne;93;103;Champagne
01/01/1999;Italy;Sardinia;88;12;Sicily & Sardinia
01/01/1999;Italy;Sant Antimo;87;35;Tuscany
01/01/1999;France;Champagne;94;170;Champagne
01/01/1999;France;Muscadet Sèvre et Maine;88;30;Loire Valley
01/01/1999;France;Champagne;92;65;Champagne
01/01/1999;France;Nuits St. Georges;87;37;Burgundy
01/01/1999;France;Champagne;90;75;Champagne
01/01/1999;Italy;Chianti Classico;86;31;Tuscany
01/01/1999;France;Nuits St. Georges;89;52;Burgundy
01/01/1999;France;Champagne;90;95;Champagne
01/01/1999;Italy;Fiano di Avellino;91;20;Southern Italy
01/01/1999;France;Vosne Romanée;90;65;Burgundy
01/01/2000;Italy;Toscana;92;32;Tuscany
01/01/2000;France;Champagne;93;100;Champagne
01/01/2000;France;Clos de Vougeot;92;400;Burgundy
01/01/2000;Italy;Venezia Giulia;85;55;Northeastern Italy
01/01/2000;France;Chassagne Montrachet;89;50;Burgundy
01/01/2000;Italy;Carignano del Sulcis;89;22;Sicily & Sardinia
01/01/2000;Italy;Barolo;90;79;Piedmont
01/01/2000;Italy;Alto Adige;87;28;Northeastern Italy
01/01/2000;Italy;Bianco di Custoza;88;11;Veneto
01/01/2000;Italy;Marca Trevigiana;84;20;Veneto
01/01/2000;France;Meursault;89;40;Burgundy
01/01/2000;Italy;Chianti Classico;87;20;Tuscany
01/01/2000;France;Champagne;91;116;Champagne
01/01/2000;Italy;Barolo;92;84;Piedmont
01/01/2001;Italy;Copertino;87;15;Southern Italy
01/01/2001;Italy;Collio;87;38;Northeastern Italy
01/01/2001;France;Alsace;92;197;Alsace
01/01/2001;Italy;Soave Classico;89;18;Veneto
01/01/2001;Italy;Barolo;87;70;Piedmont
01/01/2001;France;Saint Émilion;86;15;Bordeaux
01/01/2001;Italy;Taurasi;90;54;Southern Italy
01/01/2001;Italy;Taurasi;92;70;Southern Italy
01/01/2001;Italy;Delle Venezie;91;18;Northeastern Italy
01/01/2001;Italy;Barolo;91;60;Piedmont
01/01/2001;Italy;Alto Adige;90;35;Northeastern Italy
01/01/2001;Italy;Brunello di Montalcino;92;80;Tuscany
01/01/2001;Italy;Alto Adige;87;43;Northeastern Italy
01/01/2001;Italy;Vino Nobile di Montepulciano;92;75;Tuscany
01/01/2001;Italy;Friuli Venezia Giulia;89;31;Northeastern Italy
01/01/2001;Italy;Friuli Venezia Giulia;91;18;Northeastern Italy
01/01/2001;Italy;Irpinia;93;65;Southern Italy
01/01/2001;Italy;Trentino;85;15;Northeastern Italy
01/01/2001;France;France;80;10;France Other
01/01/2001;France;Rivesaltes;89;26;Languedoc Roussillon
01/01/2001;Italy;Soave Classico Superiore;91;24;Veneto
01/01/2001;Italy;Toscana;90;200;Tuscany
01/01/2001;Italy;Amarone della Valpolicella Classico;94;198;Veneto
01/01/2001;France;Languedoc;82;8;Languedoc Roussillon
01/01/2001;Italy;Vigneti delle Dolomiti;93;60;Northeastern Italy
01/01/2001;France;Champagne;90;51;Champagne
01/01/2001;Italy;Etna;90;26;Sicily & Sardinia
01/01/2001;Italy;Alto Adige;89;33;Northeastern Italy
01/01/2001;Italy;Gattinara;91;43;Piedmont
01/01/2001;Italy;Alto Adige;90;40;Northeastern Italy
01/01/2001;Italy;Toscana;91;50;Tuscany
01/01/2001;Italy;Friuli Isonzo;88;27;Northeastern Italy
01/01/2001;Italy;Trentino;84;17;Northeastern Italy
01/01/2001;Italy;Toscana;88;50;Tuscany
01/01/2001;Italy;Toscana;92;61;Tuscany
01/01/2002;Italy;Toscana;92;95;Tuscany
